asset_id,hostname,cve_id,severity,cvss_score,kev_status,description
A052,WEB-52,CVE-2024-29551,Critical,9.7,False,Synthetic vulnerability record for MVP graph testing.
A061,HR-LAPTOP-61,CVE-2024-3094,High,8.8,False,XZ Utils backdoor supply chain vulnerability.
A061,HR-LAPTOP-61,CVE-2025-18117,High,7.3,False,Synthetic vulnerability record for MVP graph testing.
A061,HR-LAPTOP-61,CVE-2021-7021,Medium,4.6,False,Synthetic vulnerability record for MVP graph testing.
A061,HR-LAPTOP-61,CVE-2021-21707,Medium,6.6,True,Synthetic vulnerability record for MVP graph testing.
A070,FIN-SRV-70,CVE-2023-34362,Critical,9.8,True,MOVEit Transfer SQL injection vulnerability.
A070,FIN-SRV-70,CVE-2023-21837,Critical,9.2,False,Synthetic vulnerability record for MVP graph testing.
A070,FIN-SRV-70,CVE-2024-3094,High,8.8,False,XZ Utils backdoor supply chain vulnerability.
A070,FIN-SRV-70,CVE-2024-3094,High,8.8,False,XZ Utils backdoor supply chain vulnerability.
A057,EXE-LAPTOP-57,CVE-2024-3094,High,8.8,False,XZ Utils backdoor supply chain vulnerability.
A057,EXE-LAPTOP-57,CVE-2022-57260,High,7.9,False,Synthetic vulnerability record for MVP graph testing.
A036,WEB-36,CVE-2021-44228,Critical,10.0,True,Apache Log4j remote code execution vulnerability.
A071,OPS-LAPTOP-71,CVE-2025-90126,Medium,6.6,True,Synthetic vulnerability record for MVP graph testing.
A071,OPS-LAPTOP-71,CVE-2021-56353,High,8.1,False,Synthetic vulnerability record for MVP graph testing.
A004,FIN-SRV-04,CVE-2021-14526,Medium,5.8,False,Synthetic vulnerability record for MVP graph testing.
A004,FIN-SRV-04,CVE-2023-34362,Critical,9.8,True,MOVEit Transfer SQL injection vulnerability.
A001,SAL-LAPTOP-01,CVE-2024-6387,High,8.1,False,OpenSSH regreSSHion vulnerability.
A001,SAL-LAPTOP-01,CVE-2023-34362,Critical,9.8,True,MOVEit Transfer SQL injection vulnerability.
A064,ENG-LAPTOP-64,CVE-2022-83323,High,8.4,False,Synthetic vulnerability record for MVP graph testing.
A064,ENG-LAPTOP-64,CVE-2024-29474,Medium,4.5,True,Synthetic vulnerability record for MVP graph testing.
A064,ENG-LAPTOP-64,CVE-2025-96683,Medium,6.3,False,Synthetic vulnerability record for MVP graph testing.
A064,ENG-LAPTOP-64,CVE-2022-33477,Medium,5.6,True,Synthetic vulnerability record for MVP graph testing.
A047,HR-LAPTOP-47,CVE-2021-87298,Critical,9.2,False,Synthetic vulnerability record for MVP graph testing.
A047,HR-LAPTOP-47,CVE-2022-99021,Medium,6.3,False,Synthetic vulnerability record for MVP graph testing.
A047,HR-LAPTOP-47,CVE-2022-65865,Medium,6.3,False,Synthetic vulnerability record for MVP graph testing.
A032,DB-32,CVE-2021-48329,Critical,9.5,False,Synthetic vulnerability record for MVP graph testing.
A028,WEB-28,CVE-2022-62736,Critical,9.6,False,Synthetic vulnerability record for MVP graph testing.
A028,WEB-28,CVE-2021-44228,Critical,10.0,True,Apache Log4j remote code execution vulnerability.
A028,WEB-28,CVE-2023-34362,Critical,9.8,True,MOVEit Transfer SQL injection vulnerability.
A028,WEB-28,CVE-2021-44228,Critical,10.0,True,Apache Log4j remote code execution vulnerability.
A022,WEB-22,CVE-2025-55451,Medium,6.5,False,Synthetic vulnerability record for MVP graph testing.
A022,WEB-22,CVE-2025-81746,Medium,4.9,True,Synthetic vulnerability record for MVP graph testing.
A022,WEB-22,CVE-2023-34362,Critical,9.8,True,MOVEit Transfer SQL injection vulnerability.
A022,WEB-22,CVE-2022-71305,Medium,5.9,False,Synthetic vulnerability record for MVP graph testing.
A007,FIN-LAPTOP-07,CVE-2024-96677,Critical,9.6,False,Synthetic vulnerability record for MVP graph testing.
A048,FIN-LAPTOP-48,CVE-2023-23397,Critical,9.8,True,Microsoft Outlook privilege escalation vulnerability.
A048,FIN-LAPTOP-48,CVE-2024-6387,High,8.1,False,OpenSSH regreSSHion vulnerability.
A077,OPS-LAPTOP-77,CVE-2022-16655,Medium,4.1,False,Synthetic vulnerability record for MVP graph testing.
A034,OPS-LAPTOP-34,CVE-2024-3094,High,8.8,False,XZ Utils backdoor supply chain vulnerability.
A029,OPS-SRV-29,CVE-2023-34362,Critical,9.8,True,MOVEit Transfer SQL injection vulnerability.
A029,OPS-SRV-29,CVE-2023-97067,Critical,9.2,False,Synthetic vulnerability record for MVP graph testing.
A029,OPS-SRV-29,CVE-2023-23397,Critical,9.8,True,Microsoft Outlook privilege escalation vulnerability.
A043,OPS-LAPTOP-43,CVE-2023-94365,Critical,9.8,False,Synthetic vulnerability record for MVP graph testing.
A043,OPS-LAPTOP-43,CVE-2025-48202,Medium,4.3,False,Synthetic vulnerability record for MVP graph testing.
A043,OPS-LAPTOP-43,CVE-2023-34362,Critical,9.8,True,MOVEit Transfer SQL injection vulnerability.
A076,HR-LAPTOP-76,CVE-2025-89358,High,8.3,False,Synthetic vulnerability record for MVP graph testing.
A076,HR-LAPTOP-76,CVE-2021-2610,Medium,5.4,False,Synthetic vulnerability record for MVP graph testing.
A076,HR-LAPTOP-76,CVE-2022-24456,Critical,9.5,False,Synthetic vulnerability record for MVP graph testing.
A019,IT-LAPTOP-19,CVE-2023-34362,Critical,9.8,True,MOVEit Transfer SQL injection vulnerability.
A019,IT-LAPTOP-19,CVE-2023-36554,High,8.9,False,Synthetic vulnerability record for MVP graph testing.
A019,IT-LAPTOP-19,CVE-2021-44228,Critical,10.0,True,Apache Log4j remote code execution vulnerability.
A019,IT-LAPTOP-19,CVE-2024-6387,High,8.1,False,OpenSSH regreSSHion vulnerability.
A058,ENG-SRV-58,CVE-2021-61960,Critical,9.1,False,Synthetic vulnerability record for MVP graph testing.
